campaignid,opcode,status,longitude_dd,latitude_dd,observer_count,observer_length,date_time,location,site,depth_m,successful_count,successful_length,successful_habitat_forward,successful_habitat_backward,observer_habitat_forward,observer_habitat_backward
2014-12_Geographe-bay_stereo-BRUVs,40,NA,115.2287,-33.472,Hayley,Molly,2014-12-09T09:57:00+08:00,Geographe Bay,Geographe Bay,33.7,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,41,NA,115.0986,-33.3679,Hayley,Molly,2014-12-10T07:35:00+08:00,Geographe Bay,Geographe Bay,42.5,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,42,NA,115.3862,-33.5425,Logan,Molly,2014-12-12T13:13:00+08:00,Geographe Bay,Geographe Bay,13,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,44,NA,115.3097,-33.3984,Hayley,Molly,2014-12-11T06:54:00+08:00,Geographe Bay,Geographe Bay,34.4,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,45,NA,115.1317,-33.4446,Hayley,Molly,2014-12-09T13:28:00+08:00,Geographe Bay,Geographe Bay,41.1,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,46,NA,115.3493,-33.4028,NA,NA,2014-12-14T06:35:00+08:00,Geographe Bay,Geographe Bay,18,No,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,47,NA,115.2878,-33.5485,Hayley,Molly,2014-12-12T10:29:00+08:00,Geographe Bay,Geographe Bay,24.3,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,48,NA,115.5134,-33.4028,Hayley,Molly,2014-12-11T12:31:00+08:00,Geographe Bay,Geographe Bay,17.2,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,49,NA,115.2721,-33.3809,Hayley,Molly,2014-12-10T13:51:00+08:00,Geographe Bay,Geographe Bay,37.7,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,50,NA,115.1742,-33.4108,Lizzy,N/A,2014-12-10T10:29:00+08:00,Geographe Bay,Geographe Bay,40.5,Yes,No,NA,NA,NA,NA
