"campaignid","sample","family","genus","species","count","caab_code"
"2014-12_Geographe.Bay_stereoBRUVs","10001","Myliobatidae","Myliobatis","tenuicaudatus",1,"37039001"
"2014-12_Geographe.Bay_stereoBRUVs","10001","Neosebastidae","Neosebastes","pandus",1,"37287003"
"2014-12_Geographe.Bay_stereoBRUVs","10001","Paralichthyidae","Pseudorhombus","spp",1,"37460919"
"2014-12_Geographe.Bay_stereoBRUVs","10001","Platycephalidae","Platycephalus","spp",3,"37296913"
"2014-12_Geographe.Bay_stereoBRUVs","10001","Sillaginidae","Sillago","spp",16,"37330904"
"2014-12_Geographe.Bay_stereoBRUVs","10001","Triglidae","Chelidonichthys","kumu",1,"37288001"
"2014-12_Geographe.Bay_stereoBRUVs","10001","Trygonorrhinidae","Trygonorrhina","dumerilii",2,"37027011"
"2014-12_Geographe.Bay_stereoBRUVs","10001","Urolophidae","Trygonoptera","ovalis",1,"37038016"
"2014-12_Geographe.Bay_stereoBRUVs","10003","Aracanidae","Anoplocapros","amygdaloides",1,"37466015"
"2014-12_Geographe.Bay_stereoBRUVs","10003","Carangidae","Pseudocaranx","spp",40,"37337924"
"2014-12_Geographe.Bay_stereoBRUVs","10003","Carangidae","Trachurus","novaezelandiae",1,"37337003"
"2014-12_Geographe.Bay_stereoBRUVs","10003","Dasyatidae","Bathytoshia","brevicaudata",1,"37035001"
"2014-12_Geographe.Bay_stereoBRUVs","10003","Gerreidae","Parequula","melbournensis",3,"37349001"
"2014-12_Geographe.Bay_stereoBRUVs","10003","Mullidae","Upeneichthys","vlamingii",1,"37355029"
"2014-12_Geographe.Bay_stereoBRUVs","10003","Myliobatidae","Myliobatis","tenuicaudatus",1,"37039001"
"2014-12_Geographe.Bay_stereoBRUVs","10003","Platycephalidae","Platycephalus","spp",5,"37296913"
"2014-12_Geographe.Bay_stereoBRUVs","10003","Sillaginidae","Sillaginodes","punctatus",2,"37330001"
"2014-12_Geographe.Bay_stereoBRUVs","10003","Triakidae","Mustelus","antarcticus",1,"37017001"
"2014-12_Geographe.Bay_stereoBRUVs","10003","Trygonorrhinidae","Trygonorrhina","dumerilii",2,"37027011"
"2014-12_Geographe.Bay_stereoBRUVs","10005","Carangidae","Pseudocaranx","spp",12,"37337924"
"2014-12_Geographe.Bay_stereoBRUVs","10005","Gerreidae","Parequula","melbournensis",4,"37349001"
"2014-12_Geographe.Bay_stereoBRUVs","10005","Heterodontidae","Heterodontus","portusjacksoni",1,"37007001"
"2014-12_Geographe.Bay_stereoBRUVs","10005","Labridae","Coris","auricularis",2,"37384088"
"2014-12_Geographe.Bay_stereoBRUVs","10005","Labridae","Eupetrichthys","angustipes",2,"37384105"
"2014-12_Geographe.Bay_stereoBRUVs","10005","Monacanthidae","Scobinichthys","granulatus",2,"37465007"
"2014-12_Geographe.Bay_stereoBRUVs","10005","Mullidae","Upeneichthys","vlamingii",1,"37355029"
"2014-12_Geographe.Bay_stereoBRUVs","10005","Myliobatidae","Myliobatis","tenuicaudatus",1,"37039001"
"2014-12_Geographe.Bay_stereoBRUVs","10005","Pinguipedidae","Parapercis","haackei",1,"37390004"
"2014-12_Geographe.Bay_stereoBRUVs","10005","Trygonorrhinidae","Trygonorrhina","dumerilii",2,"37027011"
"2014-12_Geographe.Bay_stereoBRUVs","102","Carangidae","Pseudocaranx","spp",8,"37337924"
"2014-12_Geographe.Bay_stereoBRUVs","102","Carangidae","Trachurus","novaezelandiae",108,"37337003"
"2014-12_Geographe.Bay_stereoBRUVs","102","Dasyatidae","Bathytoshia","brevicaudata",1,"37035001"
"2014-12_Geographe.Bay_stereoBRUVs","102","Gerreidae","Parequula","melbournensis",3,"37349001"
"2014-12_Geographe.Bay_stereoBRUVs","102","Microcanthidae","Tilodon","sexfasciatus",1,"37361003"
"2014-12_Geographe.Bay_stereoBRUVs","102","Monacanthidae","Acanthaluteres","vittiger",1,"37465002"
"2014-12_Geographe.Bay_stereoBRUVs","102","Mullidae","Parupeneus","chrysopleuron",1,"37355016"
"2014-12_Geographe.Bay_stereoBRUVs","102","Myliobatidae","Myliobatis","tenuicaudatus",1,"37039001"
"2014-12_Geographe.Bay_stereoBRUVs","102","Oplegnathidae","Oplegnathus","woodwardi",1,"37369002"
"2014-12_Geographe.Bay_stereoBRUVs","102","Pinguipedidae","Parapercis","ramsayi",1,"37390002"
"2014-12_Geographe.Bay_stereoBRUVs","102","Platycephalidae","Platycephalus","spp",4,"37296913"
"2014-12_Geographe.Bay_stereoBRUVs","102","Sillaginidae","Sillago","spp",5,"37330904"
"2014-12_Geographe.Bay_stereoBRUVs","102","Trygonorrhinidae","Aptychotrema","vincentiana",1,"37027001"
"2014-12_Geographe.Bay_stereoBRUVs","102","Trygonorrhinidae","Trygonorrhina","dumerilii",3,"37027011"
"2014-12_Geographe.Bay_stereoBRUVs","103","Carangidae","Pseudocaranx","spp",8,"37337924"
"2014-12_Geographe.Bay_stereoBRUVs","103","Gerreidae","Parequula","melbournensis",39,"37349001"
"2014-12_Geographe.Bay_stereoBRUVs","103","Glaucosomatidae","Glaucosoma","hebraicum",1,"37320004"
"2014-12_Geographe.Bay_stereoBRUVs","103","Labridae","Austrolabrus","maculatus",1,"37384025"
"2014-12_Geographe.Bay_stereoBRUVs","103","Labridae","Coris","auricularis",23,"37384088"
"2014-12_Geographe.Bay_stereoBRUVs","103","Labridae","Heteroscarus","acroptilus",1,"37385010"
"2014-12_Geographe.Bay_stereoBRUVs","103","Labridae","Notolabrus","parilus",1,"37384022"
"2014-12_Geographe.Bay_stereoBRUVs","103","Labridae","Ophthalmolepis","lineolatus",2,"37384040"
"2014-12_Geographe.Bay_stereoBRUVs","103","Microcanthidae","Neatypus","obliquus",5,"37361002"
"2014-12_Geographe.Bay_stereoBRUVs","103","Monacanthidae","Scobinichthys","granulatus",2,"37465007"
"2014-12_Geographe.Bay_stereoBRUVs","103","Mullidae","Upeneichthys","vlamingii",1,"37355029"
"2014-12_Geographe.Bay_stereoBRUVs","103","Pempherididae","Pempheris","klunzingeri",66,"37357003"
"2014-12_Geographe.Bay_stereoBRUVs","103","Sillaginidae","Sillaginodes","spp",1,"37330903"
"2014-12_Geographe.Bay_stereoBRUVs","103","Sparidae","Chrysophrys","auratus",1,"37353001"
"2014-12_Geographe.Bay_stereoBRUVs","103","Trygonorrhinidae","Trygonorrhina","dumerilii",1,"37027011"
"2014-12_Geographe.Bay_stereoBRUVs","1038","Aracanidae","Anoplocapros","lenticularis",1,"37466010"
"2014-12_Geographe.Bay_stereoBRUVs","1038","Gerreidae","Parequula","melbournensis",13,"37349001"
"2014-12_Geographe.Bay_stereoBRUVs","1038","Labridae","Austrolabrus","maculatus",2,"37384025"
"2014-12_Geographe.Bay_stereoBRUVs","1038","Labridae","Coris","auricularis",3,"37384088"
"2014-12_Geographe.Bay_stereoBRUVs","1038","Labridae","Eupetrichthys","angustipes",1,"37384105"
"2014-12_Geographe.Bay_stereoBRUVs","1038","Labridae","Heteroscarus","acroptilus",1,"37385010"
"2014-12_Geographe.Bay_stereoBRUVs","1038","Labridae","Notolabrus","parilus",1,"37384022"
"2014-12_Geographe.Bay_stereoBRUVs","1038","Labridae","Ophthalmolepis","lineolatus",1,"37384040"
"2014-12_Geographe.Bay_stereoBRUVs","1038","Labridae","Pictilabrus","laticlavius",1,"37384020"
"2014-12_Geographe.Bay_stereoBRUVs","1038","Monacanthidae","Acanthaluteres","vittiger",1,"37465002"
"2014-12_Geographe.Bay_stereoBRUVs","1038","Mullidae","Upeneichthys","vlamingii",1,"37355029"
"2014-12_Geographe.Bay_stereoBRUVs","1038","Pempherididae","Pempheris","klunzingeri",1,"37357003"
"2014-12_Geographe.Bay_stereoBRUVs","1038","Sillaginidae","Sillaginodes","punctatus",1,"37330001"
"2014-12_Geographe.Bay_stereoBRUVs","104","Carangidae","Pseudocaranx","spp",2,"37337924"
"2014-12_Geographe.Bay_stereoBRUVs","104","Dasyatidae","Bathytoshia","brevicaudata",1,"37035001"
"2014-12_Geographe.Bay_stereoBRUVs","104","Enoplosidae","Enoplosus","armatus",1,"37366001"
"2014-12_Geographe.Bay_stereoBRUVs","104","Gerreidae","Parequula","melbournensis",3,"37349001"
"2014-12_Geographe.Bay_stereoBRUVs","104","Heterodontidae","Heterodontus","portusjacksoni",1,"37007001"
"2014-12_Geographe.Bay_stereoBRUVs","104","Labridae","Coris","auricularis",8,"37384088"
"2014-12_Geographe.Bay_stereoBRUVs","104","Labridae","Eupetrichthys","angustipes",1,"37384105"
"2014-12_Geographe.Bay_stereoBRUVs","104","Labridae","Ophthalmolepis","lineolatus",5,"37384040"
"2014-12_Geographe.Bay_stereoBRUVs","104","Microcanthidae","Neatypus","obliquus",26,"37361002"
"2014-12_Geographe.Bay_stereoBRUVs","104","Mullidae","Parupeneus","chrysopleuron",1,"37355016"
"2014-12_Geographe.Bay_stereoBRUVs","104","Myliobatidae","Myliobatis","tenuicaudatus",1,"37039001"
"2014-12_Geographe.Bay_stereoBRUVs","104","Pinguipedidae","Parapercis","haackei",2,"37390004"
"2014-12_Geographe.Bay_stereoBRUVs","104","Pinguipedidae","Parapercis","ramsayi",1,"37390002"
"2014-12_Geographe.Bay_stereoBRUVs","104","Sparidae","Chrysophrys","auratus",1,"37353001"
"2014-12_Geographe.Bay_stereoBRUVs","104","Trygonorrhinidae","Trygonorrhina","dumerilii",1,"37027011"
"2014-12_Geographe.Bay_stereoBRUVs","104","Urolophidae","Trygonoptera","spp",1,"37038902"
"2014-12_Geographe.Bay_stereoBRUVs","107","Gerreidae","Parequula","melbournensis",25,"37349001"
"2014-12_Geographe.Bay_stereoBRUVs","107","Heterodontidae","Heterodontus","portusjacksoni",1,"37007001"
"2014-12_Geographe.Bay_stereoBRUVs","107","Labridae","Austrolabrus","maculatus",2,"37384025"
"2014-12_Geographe.Bay_stereoBRUVs","107","Labridae","Coris","auricularis",18,"37384088"
"2014-12_Geographe.Bay_stereoBRUVs","107","Labridae","Eupetrichthys","angustipes",1,"37384105"
"2014-12_Geographe.Bay_stereoBRUVs","107","Mullidae","Upeneichthys","vlamingii",2,"37355029"
"2014-12_Geographe.Bay_stereoBRUVs","107","Myliobatidae","Myliobatis","tenuicaudatus",1,"37039001"
"2014-12_Geographe.Bay_stereoBRUVs","107","Neosebastidae","Neosebastes","pandus",1,"37287003"
"2014-12_Geographe.Bay_stereoBRUVs","107","Sparidae","Chrysophrys","auratus",4,"37353001"
"2014-12_Geographe.Bay_stereoBRUVs","107","Trygonorrhinidae","Trygonorrhina","dumerilii",2,"37027011"
"2014-12_Geographe.Bay_stereoBRUVs","108","Aracanidae","Anoplocapros","amygdaloides",1,"37466015"
"2014-12_Geographe.Bay_stereoBRUVs","108","Carangidae","Pseudocaranx","spp",96,"37337924"
"2014-12_Geographe.Bay_stereoBRUVs","108","Carangidae","Trachurus","novaezelandiae",1,"37337003"
"2014-12_Geographe.Bay_stereoBRUVs","108","Myliobatidae","Myliobatis","tenuicaudatus",1,"37039001"
"2014-12_Geographe.Bay_stereoBRUVs","108","Platycephalidae","Platycephalus","spp",6,"37296913"
"2014-12_Geographe.Bay_stereoBRUVs","108","Sillaginidae","Sillago","spp",1,"37330904"
"2014-12_Geographe.Bay_stereoBRUVs","108","Trygonorrhinidae","Trygonorrhina","dumerilii",2,"37027011"
"2014-12_Geographe.Bay_stereoBRUVs","108","Urolophidae","Trygonoptera","spp",1,"37038902"
"2014-12_Geographe.Bay_stereoBRUVs","11","Aracanidae","Anoplocapros","amygdaloides",1,"37466015"
"2014-12_Geographe.Bay_stereoBRUVs","11","Aracanidae","Aracana","aurita",1,"37466003"
"2014-12_Geographe.Bay_stereoBRUVs","11","Carangidae","Pseudocaranx","spp",2,"37337924"
"2014-12_Geographe.Bay_stereoBRUVs","11","Gerreidae","Parequula","melbournensis",3,"37349001"
"2014-12_Geographe.Bay_stereoBRUVs","11","Labridae","Austrolabrus","maculatus",1,"37384025"
"2014-12_Geographe.Bay_stereoBRUVs","11","Labridae","Coris","auricularis",4,"37384088"
"2014-12_Geographe.Bay_stereoBRUVs","11","Labridae","Eupetrichthys","angustipes",1,"37384105"
"2014-12_Geographe.Bay_stereoBRUVs","11","Labridae","Notolabrus","parilus",2,"37384022"
"2014-12_Geographe.Bay_stereoBRUVs","11","Labridae","Ophthalmolepis","lineolatus",1,"37384040"
"2014-12_Geographe.Bay_stereoBRUVs","11","Monacanthidae","Scobinichthys","granulatus",1,"37465007"
"2014-12_Geographe.Bay_stereoBRUVs","11","Mullidae","Upeneichthys","vlamingii",1,"37355029"
"2014-12_Geographe.Bay_stereoBRUVs","11","Neosebastidae","Neosebastes","pandus",1,"37287003"
"2014-12_Geographe.Bay_stereoBRUVs","11","Pinguipedidae","Parapercis","haackei",1,"37390004"
"2014-12_Geographe.Bay_stereoBRUVs","11","Serranidae","Hypoplectrodes","nigroruber",1,"37311037"
"2014-12_Geographe.Bay_stereoBRUVs","11","Triakidae","Galeorhinus","galeus",1,"37017008"
"2014-12_Geographe.Bay_stereoBRUVs","11","Trygonorrhinidae","Trygonorrhina","dumerilii",2,"37027011"
"2014-12_Geographe.Bay_stereoBRUVs","1108","Carangidae","Pseudocaranx","spp",7,"37337924"
"2014-12_Geographe.Bay_stereoBRUVs","1108","Gerreidae","Parequula","melbournensis",5,"37349001"
"2014-12_Geographe.Bay_stereoBRUVs","1108","Labridae","Notolabrus","parilus",1,"37384022"
"2014-12_Geographe.Bay_stereoBRUVs","1108","Monacanthidae","Scobinichthys","granulatus",1,"37465007"
"2014-12_Geographe.Bay_stereoBRUVs","1108","Triakidae","Mustelus","antarcticus",1,"37017001"
"2014-12_Geographe.Bay_stereoBRUVs","1108","Trygonorrhinidae","Trygonorrhina","dumerilii",2,"37027011"
"2014-12_Geographe.Bay_stereoBRUVs","111","Aracanidae","Anoplocapros","amygdaloides",1,"37466015"
"2014-12_Geographe.Bay_stereoBRUVs","111","Carangidae","Pseudocaranx","spp",20,"37337924"
"2014-12_Geographe.Bay_stereoBRUVs","111","Gerreidae","Parequula","melbournensis",7,"37349001"
"2014-12_Geographe.Bay_stereoBRUVs","111","Labridae","Coris","auricularis",3,"37384088"
"2014-12_Geographe.Bay_stereoBRUVs","111","Labridae","Halichoeres","brownfieldi",1,"37384108"
"2014-12_Geographe.Bay_stereoBRUVs","111","Labridae","Notolabrus","parilus",1,"37384022"
"2014-12_Geographe.Bay_stereoBRUVs","111","Monacanthidae","Acanthaluteres","vittiger",1,"37465002"
"2014-12_Geographe.Bay_stereoBRUVs","111","Monacanthidae","Meuschenia","freycineti",1,"37465036"
"2014-12_Geographe.Bay_stereoBRUVs","111","Monacanthidae","Scobinichthys","granulatus",1,"37465007"
"2014-12_Geographe.Bay_stereoBRUVs","111","Myliobatidae","Myliobatis","tenuicaudatus",1,"37039001"
"2014-12_Geographe.Bay_stereoBRUVs","111","Pempherididae","Pempheris","klunzingeri",4,"37357003"
"2014-12_Geographe.Bay_stereoBRUVs","111","Trygonorrhinidae","Trygonorrhina","dumerilii",1,"37027011"
"2014-12_Geographe.Bay_stereoBRUVs","112","Carangidae","Seriola","hippos",1,"37337007"
"2014-12_Geographe.Bay_stereoBRUVs","112","Gerreidae","Parequula","melbournensis",13,"37349001"
"2014-12_Geographe.Bay_stereoBRUVs","112","Labridae","Coris","auricularis",1,"37384088"
"2014-12_Geographe.Bay_stereoBRUVs","112","Labridae","Eupetrichthys","angustipes",1,"37384105"
"2014-12_Geographe.Bay_stereoBRUVs","112","Labridae","Halichoeres","brownfieldi",2,"37384108"
"2014-12_Geographe.Bay_stereoBRUVs","112","Labridae","Notolabrus","parilus",1,"37384022"
"2014-12_Geographe.Bay_stereoBRUVs","112","Labridae","Ophthalmolepis","lineolatus",3,"37384040"
"2014-12_Geographe.Bay_stereoBRUVs","112","Monacanthidae","Scobinichthys","granulatus",1,"37465007"
"2014-12_Geographe.Bay_stereoBRUVs","112","Myliobatidae","Myliobatis","tenuicaudatus",1,"37039001"
"2014-12_Geographe.Bay_stereoBRUVs","112","Sparidae","Chrysophrys","auratus",2,"37353001"
"2014-12_Geographe.Bay_stereoBRUVs","112","Trygonorrhinidae","Trygonorrhina","dumerilii",1,"37027011"
"2014-12_Geographe.Bay_stereoBRUVs","112","Urolophidae","Trygonoptera","ovalis",1,"37038016"
"2014-12_Geographe.Bay_stereoBRUVs","113","Carangidae","Pseudocaranx","spp",136,"37337924"
"2014-12_Geographe.Bay_stereoBRUVs","113","Gerreidae","Parequula","melbournensis",1,"37349001"
"2014-12_Geographe.Bay_stereoBRUVs","113","Myliobatidae","Myliobatis","tenuicaudatus",1,"37039001"
"2014-12_Geographe.Bay_stereoBRUVs","113","Platycephalidae","Platycephalus","spp",3,"37296913"
"2014-12_Geographe.Bay_stereoBRUVs","113","Sparidae","Chrysophrys","auratus",1,"37353001"
"2014-12_Geographe.Bay_stereoBRUVs","114","Carangidae","Pseudocaranx","spp",4,"37337924"
"2014-12_Geographe.Bay_stereoBRUVs","114","Dasyatidae","Bathytoshia","brevicaudata",1,"37035001"
"2014-12_Geographe.Bay_stereoBRUVs","114","Myliobatidae","Myliobatis","tenuicaudatus",1,"37039001"
"2014-12_Geographe.Bay_stereoBRUVs","114","Neosebastidae","Neosebastes","pandus",1,"37287003"
"2014-12_Geographe.Bay_stereoBRUVs","114","Platycephalidae","Platycephalus","spp",6,"37296913"
"2014-12_Geographe.Bay_stereoBRUVs","114","Sillaginidae","Sillago","spp",2,"37330904"
"2014-12_Geographe.Bay_stereoBRUVs","114","Trygonorrhinidae","Aptychotrema","vincentiana",1,"37027001"
"2014-12_Geographe.Bay_stereoBRUVs","114","Trygonorrhinidae","Trygonorrhina","dumerilii",1,"37027011"
"2014-12_Geographe.Bay_stereoBRUVs","115","Aracanidae","Anoplocapros","amygdaloides",1,"37466015"
"2014-12_Geographe.Bay_stereoBRUVs","115","Aracanidae","Aracana","aurita",1,"37466003"
"2014-12_Geographe.Bay_stereoBRUVs","115","Carangidae","Pseudocaranx","spp",18,"37337924"
"2014-12_Geographe.Bay_stereoBRUVs","115","Gerreidae","Parequula","melbournensis",6,"37349001"
"2014-12_Geographe.Bay_stereoBRUVs","115","Myliobatidae","Myliobatis","tenuicaudatus",1,"37039001"
"2014-12_Geographe.Bay_stereoBRUVs","115","Neosebastidae","Neosebastes","pandus",2,"37287003"
"2014-12_Geographe.Bay_stereoBRUVs","115","Platycephalidae","Platycephalus","spp",5,"37296913"
"2014-12_Geographe.Bay_stereoBRUVs","115","Sillaginidae","Sillago","spp",1,"37330904"
"2014-12_Geographe.Bay_stereoBRUVs","115","Trygonorrhinidae","Trygonorrhina","dumerilii",2,"37027011"
"2014-12_Geographe.Bay_stereoBRUVs","116","Aracanidae","Anoplocapros","amygdaloides",1,"37466015"
"2014-12_Geographe.Bay_stereoBRUVs","116","Gerreidae","Parequula","melbournensis",13,"37349001"
"2014-12_Geographe.Bay_stereoBRUVs","116","Labridae","Coris","auricularis",4,"37384088"
"2014-12_Geographe.Bay_stereoBRUVs","116","Monacanthidae","Acanthaluteres","vittiger",2,"37465002"
"2014-12_Geographe.Bay_stereoBRUVs","116","Mullidae","Parupeneus","chrysopleuron",1,"37355016"
"2014-12_Geographe.Bay_stereoBRUVs","116","Mullidae","Upeneichthys","vlamingii",2,"37355029"
"2014-12_Geographe.Bay_stereoBRUVs","116","Myliobatidae","Myliobatis","tenuicaudatus",1,"37039001"
"2014-12_Geographe.Bay_stereoBRUVs","116","Platycephalidae","Platycephalus","spp",5,"37296913"
"2014-12_Geographe.Bay_stereoBRUVs","116","Urolophidae","Trygonoptera","ovalis",1,"37038016"
"2014-12_Geographe.Bay_stereoBRUVs","119","Carangidae","Pseudocaranx","spp",6,"37337924"
"2014-12_Geographe.Bay_stereoBRUVs","119","Carangidae","Seriola","hippos",1,"37337007"
"2014-12_Geographe.Bay_stereoBRUVs","119","Cheilodactylidae","Dactylophora","nigricans",1,"37377005"
"2014-12_Geographe.Bay_stereoBRUVs","119","Dasyatidae","Bathytoshia","brevicaudata",1,"37035001"
"2014-12_Geographe.Bay_stereoBRUVs","119","Labridae","Choerodon","rubescens",2,"37384039"
"2014-12_Geographe.Bay_stereoBRUVs","119","Labridae","Coris","auricularis",2,"37384088"
"2014-12_Geographe.Bay_stereoBRUVs","119","Labridae","Notolabrus","parilus",2,"37384022"
"2014-12_Geographe.Bay_stereoBRUVs","119","Labridae","Ophthalmolepis","lineolatus",3,"37384040"
"2014-12_Geographe.Bay_stereoBRUVs","119","Myliobatidae","Myliobatis","tenuicaudatus",1,"37039001"
"2014-12_Geographe.Bay_stereoBRUVs","119","Pempherididae","Pempheris","klunzingeri",1,"37357003"
"2014-12_Geographe.Bay_stereoBRUVs","119","Scorpididae","Scorpis","georgiana",1,"37361015"
"2014-12_Geographe.Bay_stereoBRUVs","119","Sparidae","Chrysophrys","auratus",2,"37353001"
"2014-12_Geographe.Bay_stereoBRUVs","11R2","Carangidae","Pseudocaranx","spp",2,"37337924"
"2014-12_Geographe.Bay_stereoBRUVs","11R2","Carangidae","Trachurus","novaezelandiae",2,"37337003"
"2014-12_Geographe.Bay_stereoBRUVs","11R2","Gerreidae","Parequula","melbournensis",45,"37349001"
"2014-12_Geographe.Bay_stereoBRUVs","11R2","Labridae","Halichoeres","brownfieldi",1,"37384108"
"2014-12_Geographe.Bay_stereoBRUVs","11R2","Labridae","Ophthalmolepis","lineolatus",5,"37384040"
"2014-12_Geographe.Bay_stereoBRUVs","11R2","Monacanthidae","Acanthaluteres","vittiger",2,"37465002"
"2014-12_Geographe.Bay_stereoBRUVs","11R2","Mullidae","Upeneichthys","vlamingii",1,"37355029"
"2014-12_Geographe.Bay_stereoBRUVs","11R2","Nemipteridae","Pentapodus","vitta",1,"37347022"
"2014-12_Geographe.Bay_stereoBRUVs","11R2","Trygonorrhinidae","Trygonorrhina","dumerilii",2,"37027011"
"2014-12_Geographe.Bay_stereoBRUVs","11R3","Carangidae","Pseudocaranx","spp",1,"37337924"
"2014-12_Geographe.Bay_stereoBRUVs","11R3","Gerreidae","Parequula","melbournensis",3,"37349001"
"2014-12_Geographe.Bay_stereoBRUVs","11R3","Labridae","Austrolabrus","maculatus",2,"37384025"
"2014-12_Geographe.Bay_stereoBRUVs","11R3","Labridae","Eupetrichthys","angustipes",1,"37384105"
"2014-12_Geographe.Bay_stereoBRUVs","11R3","Labridae","Notolabrus","parilus",1,"37384022"
"2014-12_Geographe.Bay_stereoBRUVs","11R3","Labridae","Ophthalmolepis","lineolatus",4,"37384040"
"2014-12_Geographe.Bay_stereoBRUVs","11R3","Monacanthidae","Scobinichthys","granulatus",1,"37465007"
"2014-12_Geographe.Bay_stereoBRUVs","11R3","Mullidae","Upeneichthys","vlamingii",1,"37355029"
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Carangidae","Seriola","hippos",2,"37337007"
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Chaetodontidae","Chelmonops","curiosus",1,"37365066"
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Labridae","Austrolabrus","maculatus",4,"37384025"
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Labridae","Bodianus","frenchii",1,"37384057"
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Labridae","Choerodon","rubescens",1,"37384039"
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Labridae","Coris","auricularis",2,"37384088"
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Labridae","Notolabrus","parilus",3,"37384022"
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Labridae","Ophthalmolepis","lineolatus",5,"37384040"
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Microcanthidae","Neatypus","obliquus",1,"37361002"
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Monacanthidae","Acanthaluteres","brownii",1,"37465001"
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Monacanthidae","Acanthaluteres","vittiger",1,"37465002"
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Monacanthidae","Eubalichthys","mosaicus",1,"37465003"
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Monacanthidae","Meuschenia","flavolineata",3,"37465035"
