"campaignid","sample","latitude_dd","longitude_dd","location","site","depth_m","observer_count","successful_count","successful_length","status","observer_length","date_time"
"2014-12_Geographe.Bay_stereoBRUVs","76",-33.413,115.2847,"Geographe Bay","Geographe Bay",35.2,"Hayley","Yes","Yes","Fished","Unknown","2014-12-11T07:01:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","77",-33.4558,115.1029,"Geographe Bay","Geographe Bay",40.8,"Hayley","Yes","Yes","Fished","Unknown","2014-12-09T13:50:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","78",-33.5076,115.4438,"Geographe Bay","Geographe Bay",13.4,"Logan","Yes","Yes","Fished","Unknown","2014-12-13T06:18:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","79",-33.5874,115.2309,"Geographe Bay","Geographe Bay",18.5,"Hayley","Yes","Yes","Fished","Unknown","2014-12-12T08:16:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","81",-33.3788,115.2305,"Geographe Bay","Geographe Bay",38.9,"Hayley","Yes","Yes","Fished","Unknown","2014-12-10T14:18:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","82",-33.3955,115.1103,"Geographe Bay","Geographe Bay",42.6,"Hayley","Yes","Yes","Fished","Unknown","2014-12-10T07:49:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","83",-33.4694,115.3791,"Geographe Bay","Geographe Bay",24.6,"Logan","Yes","No","Fished","Unknown","2014-12-13T10:26:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","84",-33.3965,115.1924,"Geographe Bay","Geographe Bay",41,"Hayley","Yes","Yes","Fished","Unknown","2014-12-10T11:28:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","86",-33.5405,115.1785,"Geographe Bay","Geographe Bay",28.6,"Hayley","Yes","Yes","Fished","Unknown","2014-12-09T07:24:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","87",-33.4896,115.4589,"Geographe Bay","Geographe Bay",13,"Hayley","Yes","Yes","Fished","Unknown","2014-12-13T07:49:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","88",-33.5011,115.2145,"Geographe Bay","Geographe Bay",31.4,"Hayley","Yes","Yes","Fished","Unknown","2014-12-09T09:45:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","89",-33.3828,115.0564,"Geographe Bay","Geographe Bay",43.9,"Molly","Yes","Yes","Fished","Unknown","2014-12-10T06:58:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","90",-33.5333,115.3225,"Geographe Bay","Geographe Bay",22,"Hayley","Yes","No","Fished","Unknown","2014-12-12T10:53:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","91",-33.5396,115.2061,"Geographe Bay","Geographe Bay",29.8,"Hayley","Yes","Yes","Fished","Unknown","2014-12-09T06:54:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","92",-33.4176,115.315,"Geographe Bay","Geographe Bay",33,"Hayley","Yes","Yes","Fished","Unknown","2014-12-11T06:43:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","93",-33.4813,115.1528,"Geographe Bay","Geographe Bay",36,"Curtin","Yes","No","Fished","Unknown","2014-12-09T12:59:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","95",-33.5175,115.3155,"Geographe Bay","Geographe Bay",24.9,"Hayley","Yes","Yes","Fished","Unknown","2014-12-12T10:42:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","96",-33.4489,115.4808,"Geographe Bay","Geographe Bay",15.9,"Hayley","Yes","No","Fished","Unknown","2014-12-11T13:04:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","97",-33.3847,115.2927,"Geographe Bay","Geographe Bay",35.6,"Hayley","Yes","Yes","Fished","Unknown","2014-12-11T08:43:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","98",-33.434,115.1727,"Geographe Bay","Geographe Bay",38,"Curtin","Yes","No","Fished","Unknown","2014-12-10T10:56:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","100",-33.4325,115.2142,"Geographe Bay","Geographe Bay",36.7,"Molly","Yes","No","Fished","Unknown","2014-12-10T11:14:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","102",-33.5185,115.1196,"Geographe Bay","Geographe Bay",34.4,"Hayley","Yes","Yes","Fished","Unknown","2014-12-09T12:39:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","103",-33.4581,115.4547,"Geographe Bay","Geographe Bay",18.4,"Hayley","Yes","Yes","Fished","Unknown","2014-12-11T13:12:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","104",-33.4597,115.2451,"Geographe Bay","Geographe Bay",33.3,"Molly","Yes","No","Fished","Unknown","2014-12-09T10:04:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","107",-33.5833,115.1881,"Geographe Bay","Geographe Bay",29.3,"Molly","Yes","No","Fished","Unknown","2014-12-09T09:25:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","108",-33.4691,115.1677,"Geographe Bay","Geographe Bay",34,"Logan","Yes","Yes","Fished","Unknown","2014-12-11T06:47:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","111",-33.5369,115.3219,"Geographe Bay","Geographe Bay",21.9,"Logan","Yes","Yes","Fished","Unknown","2014-12-12T10:55:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","112",-33.4052,115.5224,"Geographe Bay","Geographe Bay",14.8,"Hayley","Yes","Yes","Fished","Unknown","2014-12-11T12:35:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","113",-33.3658,115.2779,"Geographe Bay","Geographe Bay",36.6,"Curtin","Yes","Yes","Fished","Unknown","2014-12-10T13:45:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","114",-33.3984,115.1639,"Geographe Bay","Geographe Bay",39.7,"Curtin","Yes","No","Fished","Unknown","2014-12-10T10:20:00+08:00"
