"campaignid","sample","latitude","longitude","date","time","location","site","depth","observer","successful.count","successful.length","raw.hdd.number","con.hdd.number","commonwealth.zone","state.zone","status"
"2014-12_Geographe.Bay_stereoBRUVs","40",-33.472,115.2287,"2014-12-09","09:57:00","Geographe Bay","Geographe Bay","33.7","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","41",-33.3679,115.0986,"2014-12-10","07:35:00","Geographe Bay","Geographe Bay","42.5","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","42",-33.5425,115.3862,"2014-12-12","13:13:00","Geographe Bay","Geographe Bay","13","Logan","Yes","No",NA,"4","National Park Zone",NA,"No-take"
"2014-12_Geographe.Bay_stereoBRUVs","44",-33.3984,115.3097,"2014-12-11","06:54:00","Geographe Bay","Geographe Bay","34.4","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","45",-33.4446,115.1317,"2014-12-09","13:28:00","Geographe Bay","Geographe Bay","41.1","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","47",-33.5485,115.2878,"2014-12-12","10:29:00","Geographe Bay","Geographe Bay","24.3","Hayley","Yes","Yes",NA,"3","Multiple Use Zone",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","48",-33.4028,115.5134,"2014-12-11","12:31:00","Geographe Bay","Geographe Bay","17.2","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","49",-33.3809,115.2721,"2014-12-10","13:51:00","Geographe Bay","Geographe Bay","37.7","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","50",-33.4108,115.1742,"2014-12-10","10:29:00","Geographe Bay","Geographe Bay","40.5","Curtin","Yes","No",NA,"2L","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","51",-33.4316,115.4137,"2014-12-13","10:52:00","Geographe Bay","Geographe Bay","25.4",NA,"Yes","No",NA,NA,"Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","52",-33.4927,115.2982,"2014-12-09","06:14:00","Geographe Bay","Geographe Bay","29.7","Curtin","Yes","No",NA,"1 Left only","Multiple Use Zone",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","53",-33.3582,115.3565,"2014-12-11","09:04:00","Geographe Bay","Geographe Bay","31.4","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","54",-33.5131,115.1532,"2014-12-09","10:47:00","Geographe Bay","Geographe Bay","33.1","Hayley","Yes","Yes",NA,"1","Multiple Use Zone",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","55",-33.5709,115.2801,"2014-12-12","09:05:00","Geographe Bay","Geographe Bay","22.2","Hayley","Yes","No",NA,"2","Multiple Use Zone",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","56",-33.4953,115.2224,"2014-12-09","09:49:00","Geographe Bay","Geographe Bay","32","Curtin","Yes","No",NA,"1 Left only","Multiple Use Zone",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","58",-33.5697,115.3796,"2014-12-12","13:02:00","Geographe Bay","Geographe Bay","13.5","Hayley","Yes","Yes",NA,"3","National Park Zone",NA,"No-take"
