opcode,latitude_dd,longitude_dd,status,date_raw,time_raw,date_time,site,location,depth_m,uwa_con_number,status_x,commonwealth_zone,state_zone,observer_count,observer_length,successful_count,successful_length,curtin_length_analyst,uwa_length_analyst,Ryan Target Species MaxN Check,Ryan Check Comments,maxn_complete_date,maxn_checker,curtin_observer,uwa_observer,left_cam,right_cam,video_notes,con_hdd_number,raw_hdd_number,forwards_habitat_image_saved,vis_in_metres,habitat_classification,length_complete_date,comment,old_dates,post_cal,inclusion_probabilities
81,-33.3788,115.2305,Fished,2014-12-10,14:18:00,2014-12-10T14:18:00+08:00,Geographe Bay,Geographe Bay,38.9,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Tamy,Molly,Yes,,20200728,Logan Penman & Claude,Laura,Hayley,25,26,Y,2,,,,,20220810,come back for pseudo spp,28.07.20, ,0.006974
82,-33.3955,115.1103,Fished,2014-12-10,07:49:00,2014-12-10T07:49:00+08:00,Geographe Bay,Geographe Bay,42.6,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Lizzy,Molly,Yes,,20200728,Logan Penman & Claude,laura,Hayley,11,12,Y,1,,,,,20220810,,28.07.20,Y,0.006974
83,-33.4694,115.3791,Fished,2014-12-13,10:26:00,2014-12-13T10:26:00+08:00,Geographe Bay,Geographe Bay,24.6,3,Fished,Special Purpose Zone (Mining Exclusion),NA,Logan,Molly,Yes,No,Damo,Molly,Yes,,20200829,Brooke Gibbons & Claude,Lauren,Logan,5,6,,5,,,,,20220805,,29.08.20,,0.006974
84,-33.3965,115.1924,Fished,2014-12-10,11:28:00,2014-12-10T11:28:00+08:00,Geographe Bay,Geographe Bay,41,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Ronen,Molly,Yes,,20200728,Logan Penman & Claude,Lizzy,Hayley,15,16,Y,2,,,,,20220805,Rear fail,28.07.20,,0.006974
86,-33.5405,115.1785,Fished,2014-12-09,07:24:00,2014-12-09T07:24:00+08:00,Geographe Bay,Geographe Bay,28.6,1,Fished,Multiple Use Zone,NA,Hayley,Molly,Yes,Yes,Ronen,Molly,Yes,,20200729,Logan Penman & Claude,Lizzy,Hayley,15,16,Y,2,,,,,20220805,,29.07.20,,0.006974
87,-33.4896,115.4589,Fished,2014-12-13,07:49:00,2014-12-13T07:49:00+08:00,Geographe Bay,Geographe Bay,13,1,Fished,Multiple Use Zone,NA,Hayley,Molly,Yes,Yes,Damo,Molly,Yes,,20200729,Logan Penman & Claude,Lauren,Hayley,25,26,,3,,,,,20220810,,29.07.20,,0.065466
88,-33.5011,115.2145,Fished,2014-12-09,09:45:00,2014-12-09T09:45:00+08:00,Geographe Bay,Geographe Bay,31.4,1,Fished,Multiple Use Zone,NA,Hayley,Molly,Yes,Yes,Lizzy,Molly,Yes,,20200729,Logan Penman & Claude,Laura,Hayley,21,22,Y,1,,,,,20220811,,29.07.20,Y,0.006974
89,-33.3828,115.0564,Fished,2014-12-10,06:58:00,2014-12-10T06:58:00+08:00,Geographe Bay,Geographe Bay,43.9,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Molly,Molly,Yes,Yes,Lizzy,Molly,Yes,,20220705,Claude,Lauren,Molly,21,22,Y,2,,,,,20220810,,,Y,0.006974
90,-33.5333,115.3225,Fished,2014-12-12,10:53:00,2014-12-12T10:53:00+08:00,Geographe Bay,Geographe Bay,22,1,Fished,Multiple Use Zone,NA,Hayley  ,Molly,Yes,No,Damo,Molly,Yes,,20200731,Logan Penman & Claude,Laura,Hayley  ,5,6,,3,,,,,20220810,,31.07.21,,0.006974
91,-33.5396,115.2061,Fished,2014-12-09,06:54:00,2014-12-09T06:54:00+08:00,Geographe Bay,Geographe Bay,29.8,1,Fished,Habitat Protection Zone,NA,Hayley  ,Molly,Yes,Yes,Lizzy,Molly,Yes,,20200802,Logan Penman & Claude,Laura,Hayley  ,11,12,Y,1,,,,,20220810,"""SKIPPERS CHOICE""",2.8.20,Y,0.006974
92,-33.4176,115.315,Fished,2014-12-11,06:43:00,2014-12-11T06:43:00+08:00,Geographe Bay,Geographe Bay,33,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley  ,Molly,Yes,Yes,Lauren,Molly,Yes,,20200803,Logan Penman & Claude,Lauren,Hayley  ,19,20,Y,2,,,,,20220909,,3.8.20,,0.006974
93,-33.4813,115.1528,Fished,2014-12-09,12:59:00,2014-12-09T12:59:00+08:00,Geographe Bay,Geographe Bay,36,3,Fished,Special Purpose Zone (Mining Exclusion),NA,Laura,N/A,Yes,No,N/A,,Yes,,20220708,Claude,Laura,Curtin,17,18,Y,1,,,,,,CAM 17 FLOODED,,,0.006974
95,-33.5175,115.3155,Fished,2014-12-12,10:42:00,2014-12-12T10:42:00+08:00,Geographe Bay,Geographe Bay,24.9,1,Fished,Multiple Use Zone,NA,Hayley ,Molly,Yes,Yes,Laura,Molly,Yes,,20200820,Logan Penman & Claude,Lauren,Hayley ,13,14,,3,,,,,20220810,Leftcam cuts out after ~ 10 mins,2.8.20,,0.006974
96,-33.4489,115.4808,Fished,2014-12-11,13:04:00,2014-12-11T13:04:00+08:00,Geographe Bay,Geographe Bay,15.9,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley ,Molly,Yes,No,Lizzy,Molly,Yes,,20200820,Logan Penman & Claude,Lauren,Hayley ,21,22,Y,1,,,,,20220810,,2.8.20,Y,0.006974
97,-33.3847,115.2927,Fished,2014-12-11,08:43:00,2014-12-11T08:43:00+08:00,Geographe Bay,Geographe Bay,35.6,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley ,Molly,Yes,Yes,Ronen,Molly,Yes,,20200820,Logan Penman & Claude,Lizzy,Hayley ,15,16,Y,2,,,,,20220810,,2.8.20,,0.006974
98,-33.434,115.1727,Fished,2014-12-10,10:56:00,2014-12-10T10:56:00+08:00,Geographe Bay,Geographe Bay,38,3,Fished,Special Purpose Zone (Mining Exclusion),NA,Lizzy,N/A,Yes,No,N/A,,Yes,,20220713,Claude,Lizzy,Curtin,19,20,L=FAIL R=YES,2,,,,,,Leftcam failed ~10s,,,0.006974
101,-33.3886,115.3768,Fished,2014-12-14,06:47:00,2014-12-14T06:47:00+08:00,Geographe Bay,Geographe Bay,16.7,,Fished,Special Purpose Zone (Mining Exclusion),NA,Lizzy,,No,No,Damo,,No,No videos,,No footage,Lizzy,Curtin,17,18,,BH,,,,,,,,,0.006974
100,-33.4325,115.2142,Fished,2014-12-10,11:14:00,2014-12-10T11:14:00+08:00,Geographe Bay,Geographe Bay,36.7,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Molly,N/A,Yes,No,N/A,,Yes,,20220701,Claude,Lauren,Molly,21,22,Y,2,,,,,,Cals bad,,,0.006974
102,-33.5185,115.1196,Fished,2014-12-09,12:39:00,2014-12-09T12:39:00+08:00,Geographe Bay,Geographe Bay,34.4,1,Fished,Multiple Use Zone,NA,Hayley,Molly,Yes,Yes,Laura,Molly,Yes,,20200803,Logan Penman & Claude,Lizzy,Hayley,25,26,Y,1,,,,,20220810,,3.8.20,,0.006974
103,-33.4581,115.4547,Fished,2014-12-11,13:12:00,2014-12-11T13:12:00+08:00,Geographe Bay,Geographe Bay,18.4,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Laura,Molly,Yes,,20200803,Logan Penman & Claude,Lauren,Hayley,13,14,Y,1,,,,,20220811,,3.8.20,,0.006974
104,-33.4597,115.2451,Fished,2014-12-09,10:04:00,2014-12-09T10:04:00+08:00,Geographe Bay,Geographe Bay,33.3,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Molly,Lizzy,Yes,No,Lizzy,,Yes,,20220707,Claude,Lauren,Molly,9,10,Y,1,,,,,N/A,"Leftcam cuts out after ~ 20 mins, rightcam analysed instead",4.8.20 - Finishes at 20 mins,Y,0.006974
106,-33.5783,115.3451,Fished,2014-12-12,11:27:00,2014-12-12T11:27:00+08:00,Geographe Bay,Geographe Bay,13.5,2,Fished,Multiple Use Zone,NA,Logan,,No,No,Lauren,,No,Double-up of 104,20200714,Wrong footage analysed,laura,Logan,25,26,,4,,,,,,file is analysed R104,14.07.20,,0.006974
107_old,-33.5833,115.1881,Fished,2014-12-15,08:56:00,2014-12-15T08:56:00+08:00,Geographe Bay,Geographe Bay,20.9,2,Fished,Multiple Use Zone,NA,Logan,,No,No,Laura,,No,Duplicate?,20200715,Brooke Gibbons & Claude,Lizzy,Logan,15,16,,3,,,,,,,15.07.20,,0.006974
107,-33.5833,115.1881,Fished,2014-12-09,09:25:00,2014-12-09T09:25:00+08:00,Geographe Bay,Geographe Bay,29.3,1,Fished,Multiple Use Zone,NA,Molly,N/A,Yes,No,N/A,,Yes,,20220701,Claude,Lauren,Molly,15,16,L=FAIL R=YES,1,,,,,,Rightcam analysed,,,0.006974
108,-33.4691,115.1677,Fished,2014-12-11,06:47:00,2014-12-11T06:47:00+08:00,Geographe Bay,Geographe Bay,34,2,Fished,Special Purpose Zone (Mining Exclusion),NA,Logan,Molly,Yes,Yes,Lauren,Molly,Yes,,20200714,Brooke Gibbons & Claude,laura,Logan,5,6,Y,4,,,,,20220812,come back for pseudo spp,14.07.20,,0.006974
111,-33.5369,115.3219,Fished,2014-12-12,10:55:00,2014-12-12T10:55:00+08:00,Geographe Bay,Geographe Bay,21.9,1,Fished,Multiple Use Zone,NA,Logan ,Molly,Yes,Yes,Damo,Molly,Yes,,20200715,Brooke Gibbons & Claude,Laura,Logan ,19,20,,3,,,,,20220909,,15.07.20,,0.006974
110,-33.4023,115.3557,Fished,2014-12-14,06:37:00,2014-12-14T06:37:00+08:00,Geographe Bay,Geographe Bay,17,,Fished,Special Purpose Zone (Mining Exclusion),NA,,,No,No,N/A,,No,No videos,,,Lauren,,9,10,,BH,,,,,,R FAIL ON ENTRY TO HOUSING,,,0.006974
112,-33.4052,115.5224,Fished,2014-12-11,12:35:00,2014-12-11T12:35:00+08:00,Geographe Bay,Geographe Bay,14.8,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Lizzy,Molly,Yes,,20200804,Logan Penman & Claude,Laura,Hayley,17,18,Y,1,,,,,20220812,, 4.8.20,Y,0.006974
113,-33.3658,115.2779,Fished,2014-12-10,13:45:00,2014-12-10T13:45:00+08:00,Geographe Bay,Geographe Bay,36.6,3,Fished,Special Purpose Zone (Mining Exclusion),NA,Laura,Laura,Yes,Yes,Laura,,Yes,,20220705,Claude,Laura,Laura,19,20,left only,1L,,,,,Missing 16 Pseudocaranx spp,no right file,,,0.006974
114,-33.3984,115.1639,Fished,2014-12-10,10:20:00,2014-12-10T10:20:00+08:00,Geographe Bay,Geographe Bay,39.7,3,Fished,Special Purpose Zone (Mining Exclusion),NA,Lizzy,Lizzy,Yes,No,Lizzy,,Yes,,20220705,Claude,Lizzy,Lizzy,23,24,right only,1R,,,,,N/A,,,,0.006974
115,-33.4446,115.4065,Fished,2014-12-13,10:46:00,2014-12-13T10:46:00+08:00,Geographe Bay,Geographe Bay,25.2,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Logan,Molly,Yes,Yes,Damo,Molly,Yes,,20200716,Brooke Gibbons & Claude,Laura,Logan,9,10,,3,,,,,20220812,,16.07.20,Y,0.006974
116,-33.4982,115.2864,Fished,2014-12-09,06:20:00,2014-12-09T06:20:00+08:00,Geographe Bay,Geographe Bay,29.7,1,Fished,Multiple Use Zone,NA,Hayley ,Molly,Yes,Yes,Laura,Molly,Yes,,20200804,Logan Penman & Claude,Laura,Hayley ,5,6,Y,1,,,,,20220812,,4.8.20,,0.006974
119,-33.4388,115.5567,Fished,2014-12-14,11:25:00,2014-12-14T11:25:00+08:00,Geographe Bay,Geographe Bay,5.2,2,Fished,NA,NA,Lizzy,Laura,Yes,No,Laura,,Yes,,,Claude,Lizzy,Curtin,17,18,,3,,,,,,,,,0.006974
122,-33.5375,115.4021,Fished,2014-12-13,05:48:00,2014-12-13T05:48:00+08:00,Geographe Bay,Geographe Bay,13.3,2,Fished,Multiple Use Zone,NA,Logan,Molly,Yes,Yes,Lauren,Molly,Yes,,20200804,Brooke Gibbons & Claude,Lauren,Logan,13,14,,4,,,,,20220812,,4.8.20,,0.065466
135,-33.5019,115.4207,Fished,2014-12-16,12:54:00,2014-12-16T12:54:00+08:00,Geographe Bay,Geographe Bay,15.8,2,Fished,Multiple Use Zone,NA,Logan,Molly,Yes,Yes,Laura,Molly,Yes,,20200804,Brooke Gibbons & Claude,Lauren,Logan,11,12,,3,,,,,20220812,,4.8.20,,0.065466
138,-33.5808,115.1139,Fished,2014-12-15,06:50:00,2014-12-15T06:50:00+08:00,Geographe Bay,Geographe Bay,15,3,Fished,NA,NA,Lauren,Damo,Yes,Yes,Damo,,Yes,,,Not checked,Lauren,Lauren,17,18,,5,,,,,,,,,0.006974
139,-33.6033,115.2737,Fished,2014-12-17,08:29:00,2014-12-17T08:29:00+08:00,Geographe Bay,Geographe Bay,13.4,3,Fished,Multiple Use Zone,NA,Daphne,Molly,Yes,Yes,Damo,Molly,Yes,,20201005,Brooke Gibbons & Claude,Lauren,Daphne,25,26,,5,,,,,20220812,,20201005,Y,0.006974
143,-33.5762,115.2367,Fished,2014-12-15,13:24:00,2014-12-15T13:24:00+08:00,Geographe Bay,Geographe Bay,23.2,2,Fished,Multiple Use Zone,NA,Logan,Molly,Yes,Yes,Laura,Molly,Yes,,20200805,Brooke Gibbons & Claude,Lizzy,Logan,13,14,,3,,,,,20220812,,5.8.20,,0.006974
144,-33.5342,115.4323,Fished,2014-12-16,15:37:00,2014-12-16T15:37:00+08:00,Geographe Bay,Geographe Bay,12.3,2,Fished,NA,NA,Lauren,Laura,Yes,Yes,Laura,,Yes,,,Not checked,Lauren,Lauren,13,14,,3,,,,,,, ,,0.006974
151,-33.4768,115.4329,Fished,2014-12-16,09:12:00,2014-12-16T09:12:00+08:00,Geographe Bay,Geographe Bay,17.2,3,Fished,Special Purpose Zone (Mining Exclusion),NA,Daphne,Molly,Yes,Yes,Damo,Molly,Yes,,20201007,Brooke Gibbons & Claude,Lizzy,Daphne,19,20,,5,,,,,20220913,,20201007,,0.006974
154,-33.6034,115.1968,Fished,2014-12-15,10:58:00,2014-12-15T10:58:00+08:00,Geographe Bay,Geographe Bay,13.6,3,Fished,NA,NA,Lauren,Damo,Yes,Yes,Damo,,Yes,,,Not checked,Lauren,Lauren,23,24,,5,,,,,,,,,0.006974
160,-33.6034,115.2478,Fished,2014-12-16,15:24:00,2014-12-16T15:24:00+08:00,Geographe Bay,Geographe Bay,15.60955715,2,Fished,Multiple Use Zone,NA,Logan,Molly,Yes,No,Damo,Molly,Yes,,20200805,Brooke Gibbons & Claude,Lauren,Logan,19,20,,3,,,,,20220909,depth from GA250 Bathy,5.8.20,,0.006974
167,-33.4627,115.4806,Fished,2014-12-16,09:25:00,2014-12-16T09:25:00+08:00,Geographe Bay,Geographe Bay,14.4,3,Fished,Special Purpose Zone (Mining Exclusion),NA,Logan,Molly,Yes,Yes,Damo,Molly,Yes,,20200829,Brooke Gibbons & Claude,Laura,Logan,21,22,,5,,,,,20220817,,29.08.20,Y,0.006974
170,-33.5417,115.3698,No-take,2014-12-16,13:39:00,2014-12-16T13:39:00+08:00,Geographe Bay,Geographe Bay,15.8,2,No-take,National Park Zone,NA,Logan,Molly,Yes,No,Lauren,Molly,Yes,,20200810,Brooke Gibbons & Claude,Lizzy,Logan,21,22,,4,,,,,20220812,,10.8.20,Y,0.006974
175,-33.5518,115.1228,Fished,2014-12-15,06:34:00,2014-12-15T06:34:00+08:00,Geographe Bay,Geographe Bay,28.5,2,Fished,NA,NA,Lizzy,Lauren,Yes,No,Lauren,,Yes,,,Claude,Lizzy,Curtin,19,20,,4,,,,,,,,,0.006974
176,-33.59,115.1291,Fished,2014-12-15,06:59:00,2014-12-15T06:59:00+08:00,Geographe Bay,Geographe Bay,15.4,2,Fished,NA,NA,Lizzy,,No,No,Laura,,No,Duplicate of 175,,Wrong footage analysed,Lizzy,Curtin,11,12,,3,,,,,,,,,0.006974
183,-33.5688,115.2488,Fished,2014-12-15,13:29:00,2014-12-15T13:29:00+08:00,Geographe Bay,Geographe Bay,22.6,2,Fished,Multiple Use Zone,NA,Logan,Molly,Yes,Yes,Laura,Molly,Yes,,20200716,Brooke Gibbons & Claude,Lizzy,Logan,9,10,,3,,,,,20220817,come back for pseudo spp,16.07.20,Y,0.006974
192,-33.4273,115.5756,Fished,2014-12-14,11:19:00,2014-12-14T11:19:00+08:00,Geographe Bay,Geographe Bay,4.9,2,Fished,NA,NA,Lizzy,Laura,Yes,Yes,Laura,,Yes,,,Claude,Lizzy,Curtin,13,14,,3,,,,,,,,,0.006974
196,-33.5098,115.4045,Fished,2014-12-16,12:49:00,2014-12-16T12:49:00+08:00,Geographe Bay,Geographe Bay,15.9,2,Fished,Multiple Use Zone,NA,Logan,Molly,Yes,Yes,Damo,Molly,Yes,,20200805,Brooke Gibbons & Claude,Lauren,Logan,25,26,,3,,,,,20220817,come back for pseudo spp,5.8.20,,0.006974
199,-33.5975,115.2109,Fished,2014-12-15,10:53:00,2014-12-15T10:53:00+08:00,Geographe Bay,Geographe Bay,15.2,,Fished,NA,NA,Lizzy,Lizzy,Yes,No,Lizzy,,No,No Footage,,No footage,Lizzy,Curtin,17,18,,5R,,,,,,,,,0.006974
202,-33.5779,115.4117,No-take,2014-12-17,06:04:00,2014-12-17T06:04:00+08:00,Geographe Bay,Geographe Bay,9.8,2,No-take,NA,East Geographe Bay Sanctuary Zone,Lauren,Lauren,Yes,Yes,Lauren,,Yes,,,Not checked,Lauren,Lauren,9,10,,4,,,,,,,,,0.006974
207,-33.5738,115.2317,Fished,2014-12-12,08:06:00,2014-12-12T08:06:00+08:00,Geographe Bay,Geographe Bay,23.3,1,Fished,Habitat Protection Zone,NA,Hayley,Molly,Yes,Yes,Tamy,Molly,Yes,,20200804,Logan Penman & Claude,Lizzy,Hayley,11,12,,2,,,,,20220812,,4.8.20,Y,0.065466
208,-33.3873,115.5742,Fished,2014-12-14,11:03:00,2014-12-14T11:03:00+08:00,Geographe Bay,Geographe Bay,7.2,2,Fished,NA,NA,Lizzy,Laura,Yes,Yes,Laura,,Yes,,,Claude,Lizzy,Curtin,19,20,,3,,,,,,,,,0.006974
215,-33.6066,115.2241,Fished,2014-12-15,10:45:00,2014-12-15T10:45:00+08:00,Geographe Bay,Geographe Bay,14.1,,Fished,NA,NA,Lizzy,N/A,Yes,No,N/A,,No,No footage,,No footage,Lizzy,Curtin,9,10,,4R,,,,,,LEFT CAM FAIL,,,0.006974
218,-33.5955,115.3031,Fished,2014-12-17,09:46:00,2014-12-17T09:46:00+08:00,Geographe Bay,Geographe Bay,14.7,3,Fished,NA,NA,Laura,Laura,Yes,Yes,Laura,,Yes,,,Claude,Laura,Curtin,11,12,,5,,,,,,,,,0.006974
224,-33.4189,115.5036,Fished,2014-12-16,06:59:00,2014-12-16T06:59:00+08:00,Geographe Bay,Geographe Bay,16.5,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Lizzy,Molly,Yes,,20200804,Logan Penman & Claude,Lauren,Hayley,23,24,,2,,,,,20220812,,4.8.20,Y,0.006974
234,-33.6032,115.3602,Fished,2014-12-17,10:03:00,2014-12-17T10:03:00+08:00,Geographe Bay,Geographe Bay,9.3,3,Fished,NA,NA,Laura,Damo,Yes,Yes,Damo,,Yes,,,Claude,Laura,Curtin,13,14,,5,,,,,,,,,0.006974
236,-33.4949,115.4767,Fished,2014-12-16,10:45:00,2014-12-16T10:45:00+08:00,Geographe Bay,Geographe Bay,13.1,3,Fished,NA,NA,Lauren,Lizzy,Yes,Yes,Lizzy,,Yes,,,Not checked,Lauren,Lauren,21,22,,5,,,,,,,,,0.006974
240,-33.4388,115.4685,Fished,2014-12-16,08:56:00,2014-12-16T08:56:00+08:00,Geographe Bay,Geographe Bay,18.9,3,Fished,Special Purpose Zone (Mining Exclusion),NA,Logan,Molly,Yes,No,Damo,Molly,Yes,,20200824,Brooke Gibbons & Claude,Lizzy,Logan,13,14,,5,,,,,20220812,"UPSIDE DOWN, GOOD",24.08.20,,0.006974
247,-33.5561,115.1345,Fished,2014-12-15,06:30:00,2014-12-15T06:30:00+08:00,Geographe Bay,Geographe Bay,26.4,2,Fished,NA,NA,Lizzy,Lauren,Yes,Yes,Lauren,,Yes,,,Claude,Lizzy,Curtin,15,16,,4,,,,,,,,,0.006974
250,-33.5628,115.4224,No-take,2014-12-16,15:17:00,2014-12-16T15:17:00+08:00,Geographe Bay,Geographe Bay,10,,No-take,NA,East Geographe Bay Sanctuary Zone,Laura,N/A,Yes,No,N/A,,No,No videos,,No footage,Laura,Curtin,5,6,,5R,,,,,,LEFT FAIL,,,0.006974
256,-33.4083,115.4775,Fished,2014-12-14,13:12:00,2014-12-14T13:12:00+08:00,Geographe Bay,Geographe Bay,11.1,3,Fished,Special Purpose Zone (Mining Exclusion),NA,Logan,Molly,Yes,Yes,Damo,Molly,Yes,,20200824,Brooke Gibbons & Claude,Lizzy,Logan,11,12,,5,,,,,20220817,,24.08.20,,0.006974
267,-33.5707,115.1362,Fished,2014-12-15,06:22:00,2014-12-15T06:22:00+08:00,Geographe Bay,Geographe Bay,23.2,2,Fished,NA,NA,Lizzy,Lauren,Yes,Yes,Lauren,,Yes,,,Claude,Lizzy,Curtin,5,6,,4,,,,,,,,,0.006974
270,-33.5205,115.4206,Fished,2014-12-13,06:00:00,2014-12-13T06:00:00+08:00,Geographe Bay,Geographe Bay,13.7,2,Fished,Multiple Use Zone,NA,Logan ,Molly,Yes,Yes,Lauren,Molly,Yes,,20200721,Brooke Gibbons & Claude,Laura,Logan ,5,6,,4,,,,,20220817,,21.07.20,,0.065466
271,-33.5937,115.2133,Fished,2014-12-12,06:06:00,2014-12-12T06:06:00+08:00,Geographe Bay,Geographe Bay,27.3,2,Fished,Habitat Protection Zone,NA,Logan ,Molly,Yes,Yes,Lauren,Molly,Yes,,20200721,Brooke Gibbons & Claude,Laura,Logan ,21,22,,4,,,,,20220817,,21.07.20,Y,0.065466
272,-33.3815,115.4879,Fished,2014-12-14,08:37:00,2014-12-14T08:37:00+08:00,Geographe Bay,Geographe Bay,11.7,3,Fished,Special Purpose Zone (Mining Exclusion),NA,Logan (ends 54:39),Molly,Yes,Yes,Damo,Molly,Yes,,20200824,Brooke Gibbons & Claude,Lizzy,Logan (ends 54:39),25,26,,5,,,,,20220817,,24.08.20,,0.006974
279,-33.5012,115.4379,Fished,2014-12-16,11:32:00,2014-12-16T11:32:00+08:00,Geographe Bay,Geographe Bay,14.2,3,Fished,Multiple Use Zone,NA,Lizzy,N/A,Yes,No,N/A,,Yes,,20220713,Claude,Lizzy,Curtin,25,26,,4,,,,,,LEFT FAIL,,,0.065466
282,-33.5572,115.3322,Fished,2014-12-17,08:02:00,2014-12-17T08:02:00+08:00,Geographe Bay,Geographe Bay,18.2,3,Fished,Multiple Use Zone,NA,Logan,Molly,Yes,Yes,Damo,Molly,Yes,,20200825,Brooke Gibbons & Claude,Laura,Logan,15,16,,5,,,,,20220817,,25.08.20,,0.006974
287,-33.594,115.2189,Fished,2014-12-15,10:50:00,2014-12-15T10:50:00+08:00,Geographe Bay,Geographe Bay,16.4,2,Fished,Habitat Protection Zone,NA,Logan,Molly,Yes,Yes,Lauren,Molly,Yes,,20200727,Brooke Gibbons & Claude,Lizzy,Logan,13,14,,4,,,,,20220817,,27.07.20,,0.006974
288,-33.471,115.4776,Fished,2014-12-16,09:29:00,2014-12-16T09:29:00+08:00,Geographe Bay,Geographe Bay,14.3,3,Fished,Special Purpose Zone (Mining Exclusion),NA,Logan,Molly,Yes,Yes,Damo,Molly,Yes,,20200831,Brooke Gibbons & Claude,Laura,Logan,5,6,,5,,,,,20220817,,31.08.20,,0.006974
295,-33.5555,115.4661,Fished,2014-12-16,15:50:00,2014-12-16T15:50:00+08:00,Geographe Bay,Geographe Bay,2.5,3,Fished,NA,NA,Lauren,Damo,Yes,Yes,Damo,,Yes,,,Not checked,Lauren,Lauren,11,12,,5,,,,,,,,,0.006974
298,-33.5825,115.1301,Fished,2014-12-15,06:56:00,2014-12-15T06:56:00+08:00,Geographe Bay,Geographe Bay,18.1,2,Fished,NA,NA,Lauren,Lauren,Yes,Yes,Lauren,,Yes,,,Not checked,Lauren,Lauren,23,24,,4,,,,,,,,,0.006974
304,-33.5958,115.1454,Fished,2014-12-15,10:17:00,2014-12-15T10:17:00+08:00,Geographe Bay,Geographe Bay,13.7,2,Fished,NA,NA,Lizzy,Lauren,Yes,Yes,Lauren,,Yes,,,Claude,Lizzy,Curtin,5,6,,4,,,,,,,,,0.006974
314,-33.5869,115.1628,Fished,2014-12-15,09:03:00,2014-12-15T09:03:00+08:00,Geographe Bay,Geographe Bay,20,2,Fished,NA,NA,Lizzy,Laura,Yes,Yes,Laura,,Yes,,,Claude,Lizzy,Curtin,5,6,,3,,,,,,,,,0.006974
316,-33.384,115.5282,Fished,2014-12-14,10:49:00,2014-12-14T10:49:00+08:00,Geographe Bay,Geographe Bay,9.3,,Fished,Special Purpose Zone (Mining Exclusion),NA,,,No,No,Lizzy,,No,No videos,,,Lauren,,15,16,,BH,,,,,,,,,0.006974
320,-33.4418,115.4958,Fished,2014-12-16,08:49:00,2014-12-16T08:49:00+08:00,Geographe Bay,Geographe Bay,15.1,3,Fished,Special Purpose Zone (Mining Exclusion),NA,,,No,No,Damo,,No,No videos,,,Lauren,,17,18,,5,,,,,,LANDS FACING UP THEN FALLS GOOD AT 15MINS,,,0.006974
327,-33.4892,115.3942,Fished,2014-12-14,14:10:00,2014-12-14T14:10:00+08:00,Geographe Bay,Geographe Bay,11.8,2,Fished,Multiple Use Zone,NA,Logan,Molly,Yes,Yes,Laura,Molly,Yes,,20200806,Brooke Gibbons & Claude,Damon,Logan,15,16,,3,,,,,20220817,,6.8.20,,0.006974
330,-33.5691,115.104,No-take,2014-12-15,06:44:00,2014-12-15T06:44:00+08:00,Geographe Bay,Geographe Bay,17.7,,No-take,NA,Eagle Bay Sanctuary Zone,Damon,N/A,Yes,No,N/A,,No,No footage,,No footage,Damon,Curtin,13,14,,4,,,,,,Both files are rightcam,,,0.006974
331,-33.6031,115.253,Fished,2014-12-15,13:46:00,2014-12-15T13:46:00+08:00,Geographe Bay,Geographe Bay,14.3,2,Fished,Multiple Use Zone,NA,Logan,Molly,Yes,Yes,Laura,Molly,Yes,,20200722,Brooke Gibbons & Claude,Lizzy,Logan,5,6,,3,,,,,20220817,,22.07.20,,0.006974
335,-33.5771,115.2267,Fished,2014-12-12,08:09:00,2014-12-12T08:09:00+08:00,Geographe Bay,Geographe Bay,21.6,1,Fished,Habitat Protection Zone,NA,Hayley ,Molly,Yes,Yes,Lizzy,Molly,Yes,,20200806,Logan Penman & Claude,Lauren,Hayley ,23,24,,2,,,,,20220817,,6.8.20,Y,0.065466
346,-33.6092,115.2393,Fished,2014-12-15,13:08:00,2014-12-15T13:08:00+08:00,Geographe Bay,Geographe Bay,14,2,Fished,NA,NA,Lizzy,Laura,Yes,Yes,Laura,,Yes,,,Claude,Lizzy,Curtin,11,12,,3,,,,,,,,,0.006974
352,-33.4518,115.488,Fished,2014-12-16,08:45:00,2014-12-16T08:45:00+08:00,Geographe Bay,Geographe Bay,15.2,3,Fished,Special Purpose Zone (Mining Exclusion),NA,Daphne,Molly,Yes,Yes,Damo,Molly,Yes,,20201007,Brooke Gibbons & Claude,Lizzy,Daphne,23,24,,5,,,,,20220817,,20201007,Y,0.006974
